label	question	sentence
0	What do the auricles do?	Between the lobes on either side of the mouth, many species of lobates have four auricles, gelatinous projections edged with cilia that produce water currents that help direct microscopic prey toward the mouth.
1	The UK and France had non interruptions in their oil supply as they did not allow which country to use their airfield?	The UK had traditionally been an ally of Israel, and Harold Wilson's government supported the Israelis during the Six-Day War.
0	Who was the Most Valuable Player of Super Bowl II?	Bart Starr (MVP of Super Bowls
1	How much did the population of Victoria increase in ten years after the discovery of gold?	Victoria produced in the decade 1851–1860 20 million ounces of gold, one third of the world's output[citation needed].
1	Which section of the Rhine is most factories found?	Other rivers in the Ruhr Area, above all, the Emscher, still carry a considerable degree of pollution.
1	What is an example of a mechanical barrier on leaves?	However, as organisms cannot be completely sealed from their environments, other systems act to protect body openings such as the lungs, intestines, and the genitourinary tract.
0	Where can you find more information on a country's practices?	For details of individual countries see School corporal punishment.
0	Who performed the funeral for Martin Luther?	The funeral was held by his friends Johannes Bugenhagen and Philipp Melanchthon.
0	Where did Marin build first fort?	He first constructed Fort Presque Isle (near present-day Erie, Pennsylvania) on Lake Erie's south shore.
1	Who is largely considered the first United Methodist theologian?	Outler's work proved pivotal in the work of union, and he is largely considered the first United Methodist theologian.
0	What did the network install in 1999	The vBNS installed one of the first ever production OC-48c (2.5 Gbit/s) IP links in February 1999 and went on to upgrade the entire backbone to OC-48c.
1	Who was first on the team in total tackles?	Linebacker DeMarcus Ware was selected to play in the Pro Bowl for the ninth time in his career, ranking second on the team with 7½ sacks.
1	How many refugees emigrated to the Dutch Republic?	In 1705, Amsterdam and the area of West Frisia were the first areas to provide full citizens rights to Huguenot immigrants, followed by the Dutch Republic in 1715.
1	Who was the medical report written for?	The word 'plague' had no special significance at this time, and only the recurrence of outbreaks during the Middle Ages gave it the name that has become the medical term.
0	US is concerned about confrontation of the Middle East with which other country?	The possibility that the Middle East could become another superpower confrontation with the USSR was of more concern to the US than oil.
0	From which period did the objects in the Soulages collection come from?	The Soulages collection of Italian and French Renaissance objects was acquired between 1859 and 1865, and includes several cassone.
1	What does the pleurobrachia have on opposite sides of its body?	Some species of cydippids have bodies that are flattened to various extents, so that they are wider in the plane of the tentacles.
0	What type of system did Tesla suggest to Adams?	Tesla advised Adams that a two-phased system would be the most reliable and that there was a Westinghouse system to light incandescent bulbs using two-phase alternating current.
1	Why do Islamists need democratic elections?	At the same time, their popularity is such that no government can call itself democratic that excludes mainstream Islamist groups.
0	In what year was the trial of Rev. Jimmy Creech?	Rev. Jimmy Creech was defrocked after a highly publicized church trial in 1999 on account of his participation in same-sex union ceremonies.
0	Which of Luther's hymn was the main one for Advent?	Nun komm, der Heiden Heiland" (Now come, Savior of the gentiles), based on Veni redemptor gentium, became the main hymn (Hauptlied) for Advent.
1	What can concentrated oxygen produce?	Combustion hazards also apply to compounds of oxygen with a high oxidative potential, such as peroxides, chlorates, nitrates, perchlorates, and dichromates because they can donate oxygen to a fire.
0	When did Prime Minister Wilson commit to some form of devolved legislature?	The combined effect of these events led to Prime Minister Wilson committing his government to some form of devolved legislature in 1974.
1	Where is the neighborhood of Sunnyside located in Fresno?	Although parts of Sunnyside are within the City of Fresno, much of the neighborhood is a "county island" within Fresno County.
0	How many Kenyans are non-religious?	Sizeable minorities of other faiths do exist (Muslim 11.2%, indigenous beliefs 1.7%), and nonreligious 2.4%.
1	What is a local pastor's official title?	The licensed local pastor has the authority of a pastor only within the context and during the time of the appointment and shall not extend beyond it.
0	How effective was the military use of the "Afghan Arabs"?	While the military effectiveness of these "Afghan Arabs" was marginal, an estimated 16,000 to 35,000 Muslim volunteers came from around the world came to fight in Afghanistan.
